NP_type,Coating,core_size_nm,hydro_size_nm,Surf_charge_mV,Surface_area_m2_g,shape,Dose_microg_mL,Duration_h,Cell_name,Cell_species,cell_Organ,Cell_morphology,Cell_age,cell_type,sex,Assay,Test_indicator,nanomaterial_group,Viability
ZnO,Cystein_based,40.0,,,,,0.0,48.0,Caco_2,Human,Colon,Epithelial,Adult,cancer,male,CellTiterBlue,AlamarBlue,meta_oxide,64.97
TiO2,None,15.84,124.0,-43.29,,Sphere,10.0,48.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,64.11
ZnO,None,21.34,127.0,-33.0,,,5.0,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,95.65
Er2O3,None,113.8,442.5,26.14,,Cubic,25.0,24.0,THP_1,Human,Blood,Macrophage,neonate,cancer,male,MTS,TetrazoliumSalt,meta_oxide,100.16
SiO2,None,21.8,,,,Sphere,20.0,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,CVS,CrystalViolet,meta_oxide,45.42
ZnO,None,100.0,258.55,-9.96,,Sphere,15.0,24.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,NR,toluylene red,meta_oxide,100.0
SiO2,None,56.7,,,,Sphere,25.0,24.0,HUVEC,Human,Umbilical,Endothelial,fetus,Normal,,CVS,CrystalViolet,meta_oxide,79.79
Al2O3,None,39.7,267.0,36.3,64.7,,5.0,24.0,HCMEC,Human,Heart,Endothelial,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,94.85
Sm2O3,None,108.3,765.1,47.34,,Cubic,25.0,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,meta_oxide,99.67
SiO2,Phosphonate,135.0,375.4,-26.8,,,0.0,24.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,118.6
ZnO,None,100.0,273.4,-11.7,20.0,,25.0,3.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,MTT,TetrazoliumSalt,meta_oxide,76.8
Cr2O3,None,193.0,316.9,-32.6,,,3.2,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,ATPLite,luciferase,meta_oxide,106.0
Mn2O3,None,51.5,298.4,-46.1,,,200.0,,BEAS_2B,Human,Lung,Epithelial,Adult,Normal,,LDH,LDHrelease,meta_oxide,21.3
IronOxide,PEI,145.8,,17.7,,,0.0,72.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,CellTiter_Glo,luciferase,meta_oxide,48.91
ZnO,None,141.56,,,,Sphere,5.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,CCK_8,TetrazoliumSalt,meta_oxide,101.16
SiO2,None,100.33,,-31.7,,Sphere,100.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,71.46
IronOxide,None,36.0,,,,,0.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,NR,toluylene red,meta_oxide,78.23
IronOxide,PEG_based,361.4,,12.1,,,0.0,72.0,SH­SY5Y,Human,BoneMarrow,Epithelial,Young,cancer,female,CellTiterBlue,AlamarBlue,meta_oxide,63.55
SiO2,Phosphonate,135.0,375.4,-26.8,,,0.0,24.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,105.96
ZnO,None,8.0,,,,,5000.0,24.0,NK cells,Human,Blood,Lymphoblast,Adult,Normal,,Live/Dead,propidium_iodide,meta_oxide,13.57
ZnO,None,71.0,188.9,-10.8,,,1000.0,,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,CytoTox-Glo,Dead-Cell-Protease,meta_oxide,0.93
TiO2,None,33.7,303.0,-25.3,42.5,,1.0,24.0,SW480,Human,Colon,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,87.81
Sm2O3,None,108.3,765.1,47.34,,Cubic,100.0,24.0,THP_1,Human,Blood,monocyte,neonate,cancer,male,MTS,TetrazoliumSalt,meta_oxide,94.03
ZnO,None,60.0,329.0,-9.3,7.34,,0.0,24.0,A549,Human,Lung,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,100.0
SiO2,None,199.89,,-36.3,,Sphere,10.0,24.0,HepG2,Human,Liver,Epithelial,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,68.86
Al2O3,None,44.0,372.3,-20.2,,,500.0,,HaCat,Human,Skin,Keratinocyte,Adult,Normal,male,CytoTox-Glo,Dead-Cell-Protease,meta_oxide,69.5
SiO2,Phosphonate,135.0,375.4,-26.8,,,0.0,12.0,PC12,Rat,Adrenal-gland,Irregular,Adult,cancer,male,MTT,TetrazoliumSalt,meta_oxide,95.22
IronOxide,BSA,12.0,,,,,0.18,6.0,GH3,Rat,pituitary gland,Epithelial,neonate,cancer,female,Alamar_Blue,AlamarBlue,meta_oxide,99.99
ZnO,None,141.0,404.0,,,Sphere,1.0,3.0,SIRC,Rabbit,Cornea,Fibroblast,Adult,Normal,,MTT,TetrazoliumSalt,meta_oxide,97.5
ZnO,None,18.0,,,,,0.01,24.0,Macrophages,Human,Blood,Monocyte,Adult,Normal,,LDH,LDHrelease,meta_oxide,44.68
TiO2,None,420.7,,-9.96,,,0.0,3.0,AGS,Human,Stomach,Epithelial,,cancer,female,MTS,TetrazoliumSalt,meta_oxide,115.51
